country,land_km2,city,town,village,village_pop,hamlet,hamlet_pop,isolated_dwelling,farm,village_per_1000km2,hamlet_per_1000km2
ad,468,0,8,34,1,29,1,5,0,72.6,62.0
al,28786,14,58,3003,271,1457,11,63,12,104.3,50.6
at,83951,9,219,6071,5236,15906,7358,5387,2489,72.3,189.5
ba,51216,21,104,5053,1005,4611,140,908,16,98.7,90.0
be,30667,15,367,2964,429,2739,41,145,54,96.7,89.3
bg,110984,33,237,4873,796,1814,34,20,16,43.9,16.3
by,207571,31,377,4897,4816,38349,5292,1327,33,23.6,184.8
ch,41281,11,165,3569,2482,7148,95,4932,7352,86.5,173.2
cy,8990,8,48,481,89,167,17,48,2,53.5,18.6
cz,78872,39,1096,11043,9735,5750,3682,944,55,140.0,72.9
dk,43113,10,106,1569,1095,7081,3274,1196,512,36.4,164.2
ee,45362,3,49,211,81,4423,216,3729,89,4.7,97.5
es,506045,92,906,7965,7719,59440,47943,18572,1650,15.7,117.5
fi,338250,23,488,3868,113,6061,43,2026,1205,11.4,17.9
gb,244555,89,1727,15500,1085,20685,217,11953,20641,63.4,84.6
gr,132190,58,369,7376,3484,4955,1574,156,134,55.8,37.5
hr,56532,14,114,6297,6035,13265,328,730,5,111.4,234.6
hu,93014,20,329,2810,2808,1553,36,64,2092,30.2,16.7
ie,69951,12,732,2003,85,1810,2,14,52,28.6,25.9
is,102779,3,48,40,39,50,40,49,934,0.4,0.5
it,301519,100,1232,14806,9109,50721,12930,46545,11168,49.1,168.2
li,161,0,2,19,11,12,0,8,3,118.0,74.5
lt,64904,5,359,18977,18956,1583,1583,0,1,292.4,24.4
lu,2600,1,15,542,451,209,68,62,192,208.5,80.4
lv,64571,10,71,2395,102,6751,21,72279,5,37.1,104.6
mc,2,1,1,0,0,0,0,0,0,0.0,0.0
md,33860,42,158,3410,475,1,0,1,25,100.7,0.0
me,13879,11,45,987,204,2958,23,84,2,71.1,213.1
mk,25441,28,43,2859,163,490,10,15,1,112.4,19.3
mt,316,2,29,46,35,16,0,0,3,145.6,50.6
nl,38701,37,290,2186,2130,3919,359,105,127,56.5,101.3
no,384552,21,131,1761,786,18740,132,30749,106883,4.6,48.7
pl,311804,66,961,47339,12159,56759,325,4369,70,151.8,182.0
pt,91870,164,619,3526,2077,14813,2054,1710,4804,38.4,161.2
ro,238399,236,532,16359,12893,571,414,9,28,68.6,2.4
rs,77589,30,139,4152,4130,1877,403,41,44,53.5,24.2
se,449693,32,303,2616,845,39763,628,99494,9131,5.8,88.4
si,20273,4,70,4777,1556,1919,241,1429,98,235.6,94.7
sk,49029,11,277,2808,2640,1918,26,243,20,57.3,39.1
sm,61,0,2,11,8,260,0,0,0,180.3,4262.3
tr,780039,81,929,37848,1170,8670,27,308,245,48.5,11.1
ua,598969,92,2513,41444,29100,5176,3630,547,142,69.2,8.6
xk,10907,9,23,1513,174,448,17,4,10,138.7,41.1
